PeakID (cmd=annotatePeaks.pl reproducible_peaks_filtered.bed GRCh38.primary_assembly.genome.fa -gtf gencode.v45.primary_assembly.annotation.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
chr15-43	chr15	101295176	101295438	+	1	NA	promoter-TSS (ENST00000254193.11)	protein_coding-promoter-TSS (ENST00000254193.11)	-25	ENST00000558036.5	ENSG00000131876	ENST00000254193			SNRPA1			protein_coding
chr2-6	chr2	218979998	218980260	+	1	NA	TTS (ENST00000295727.2)	protein_coding-TTS (ENST00000295727.2)	2304	ENST00000628185.1	ENSG00000236445	ENST00000600415			LINC00608			lncRNA
chr5-39	chr5	168697272	168697534	+	1	NA	intron (ENST00000519560.6, intron 27 of 35)	protein_coding-intron (ENST00000332966.8, intron 27 of 35)	-1092	ENST00000518092.1	ENSG00000184347	ENST00000518140			SLIT3			protein_coding
chr4-236	chr4	48831202	48831464	+	1	NA	promoter-TSS (ENST00000508293.5)	protein_coding-promoter-TSS (ENST00000508293.5)	-9	ENST00000513391.2	ENSG00000109180	ENST00000508329			OCIAD1			protein_coding
chr12-314	chr12	64625373	64625635	+	1	NA	intron (ENST00000542104.6, intron 1 of 4)	protein_coding-intron (ENST00000283172.8, intron 1 of 3)	-2840	ENST00000444853.2	ENSG00000225195	ENST00000444853			ENSG00000225195			lncRNA
chr20-301	chr20	19130294	19130556	+	1	NA	Intergenic	Intergenic	-73629	ENST00000617956.1	ENSG00000274863	ENST00000617956			ENSG00000274863			lncRNA
chr11-199	chr11	76783317	76783579	+	1	NA	promoter-TSS (ENST00000333090.5)	protein_coding-promoter-TSS (ENST00000333090.5)	92	ENST00000333090.5	ENSG00000182704	ENST00000527881			TSKU			protein_coding
chr5-22	chr5	34915490	34915752	+	1	NA	promoter-TSS (ENST00000325577.8)	protein_coding-promoter-TSS (ENST00000325577.8)	-6	ENST00000513914.5	ENSG00000113456	ENST00000513914			RAD1			protein_coding
chr1-745	chr1	174159755	174160017	+	1	NA	promoter-TSS (ENST00000430592.1)	lncRNA-promoter-TSS (ENST00000430592.1)	118	ENST00000419983.5	ENSG00000227373	ENST00000454467			RABGAP1L-DT			lncRNA
chr1-187	chr1	111755675	111755937	+	1	NA	promoter-TSS (ENST00000369702.5)	protein_coding-promoter-TSS (ENST00000369702.5)	18	ENST00000444059.2	ENSG00000197852	ENST00000357260			INKA2			protein_coding
chr1-203	chr1	43536600	43536862	+	1	NA	intron (ENST00000617451.4, intron 1 of 7)	protein_coding-intron (ENST00000359947.9, intron 1 of 33)	-1467	ENST00000372405.1	ENSG00000142949	ENST00000412568			PTPRF			protein_coding
chr2-146	chr2	64859367	64859629	+	1	NA	intron (ENST00000445865.1, intron 1 of 4)	lncRNA-intron (ENST00000445865.1, intron 1 of 4)	4128	ENST00000445865.1	ENSG00000234572	ENST00000445865			LINC01800			lncRNA
chr13-46	chr13	28100534	28100796	+	1	NA	promoter-TSS (ENST00000241453.12)	protein_coding-promoter-TSS (ENST00000241453.12)	-73	ENST00000380987.2	ENSG00000122025	ENST00000380987			FLT3			protein_coding
chr15-375	chr15	65792239	65792501	+	1	NA	promoter-TSS (ENST00000431932.6)	protein_coding-promoter-TSS (ENST00000431932.6)	-77	ENST00000443035.8	ENSG00000174485	ENST00000431932			DENND4A			protein_coding
chr21-53	chr21	43789169	43789431	+	1	NA	promoter-TSS (ENST00000475534.5)	protein_coding-promoter-TSS (ENST00000475534.5)	-213	ENST00000475534.5	ENSG00000160214	ENST00000497547			RRP1			protein_coding
chr6-297	chr6	30326481	30326743	+	1	NA	promoter-TSS (ENST00000376656.8)	protein_coding-promoter-TSS (ENST00000376656.8)	-17	ENST00000687815.1	ENSG00000231074	ENST00000454269			HCG18			lncRNA
chr7-67	chr7	158377927	158378189	+	1	NA	intron (ENST00000389416.8, intron 1 of 21)	protein_coding-intron (ENST00000389413.7, intron 2 of 21)	-55291	ENST00000690805.1	ENSG00000289418	ENST00000690805			ENSG00000289418			lncRNA
chr1-202	chr1	42335269	42335531	+	1	NA	promoter-TSS (ENST00000361346.6)	protein_coding-promoter-TSS (ENST00000361346.6)	-165	ENST00000361346.6	ENSG00000198815	ENST00000545068			FOXJ3			protein_coding
chrX-9	chrX	153971165	153971427	+	1	NA	promoter-TSS (ENST00000369984.4)	protein_coding-promoter-TSS (ENST00000369984.4)	-112	ENST00000369984.4	ENSG00000172534	ENST00000444191			HCFC1			protein_coding
chr22-158	chr22	24011533	24011795	+	1	NA	exon (ENST00000398319.6, exon 1 of 37)	protein_coding-exon (ENST00000398319.6, exon 1 of 37)	246	ENST00000398319.6	ENSG00000099991	ENST00000398319			CABIN1			protein_coding
chr2-85	chr2	38462268	38462530	+	1	NA	intron (ENST00000421463.6, intron 4 of 4)	lncRNA-intron (ENST00000421463.6, intron 4 of 4)	715	ENST00000437979.1	ENSG00000231367	ENST00000437979			LINC02613			lncRNA
chr19-77	chr19	45450942	45451204	+	1	NA	promoter-TSS (ENST00000592083.5)	protein_coding-promoter-TSS (ENST00000592083.5)	-348	ENST00000592083.5	ENSG00000012061	ENST00000710953			ERCC1			protein_coding
chr2-400	chr2	158458033	158458295	+	1	NA	promoter-TSS (ENST00000462335.1)	protein_coding-promoter-TSS (ENST00000462335.1)	-29	ENST00000462335.1	ENSG00000144283	ENST00000462335			PKP4			protein_coding
chr7-297	chr7	85187010	85187272	+	1	NA	promoter-TSS (ENST00000284136.11)	protein_coding-promoter-TSS (ENST00000284136.11)	-85	ENST00000284136.11	ENSG00000153993	ENST00000444867			SEMA3D			protein_coding
chr19-406	chr19	51024988	51025250	+	1	NA	promoter-TSS (ENST00000593681.5)	protein_coding-promoter-TSS (ENST00000593681.5)	697	ENST00000598799.5	ENSG00000167757	ENST00000601671			KLK11			protein_coding
chr19-141	chr19	35628734	35628996	+	1	NA	promoter-TSS (ENST00000262633.9)	protein_coding-promoter-TSS (ENST00000262633.9)	-165	ENST00000588161.5	ENSG00000126254	ENST00000586618			RBM42			protein_coding
chr2-45	chr2	55269202	55269464	+	1	NA	promoter-TSS (ENST00000263629.9)	protein_coding-promoter-TSS (ENST00000263629.9)	14	ENST00000441307.5	ENSG00000085760	ENST00000417363			MTIF2			protein_coding
chr11-471	chr11	70068144	70068406	+	1	NA	intron (ENST00000531349.6, intron 1 of 27)	protein_coding-intron (ENST00000531349.6, intron 1 of 27)	-2904	ENST00000511013.2	ENSG00000248844	ENST00000511013			LINC02753			lncRNA
chr15-335	chr15	85794793	85795055	+	1	NA	promoter-TSS (ENST00000337975.6)	protein_coding-promoter-TSS (ENST00000337975.6)	1	ENST00000337975.6	ENSG00000183655	ENST00000559131			KLHL25			protein_coding
chr21-57	chr21	46228844	46229106	+	1	NA	promoter-TSS (ENST00000356396.8)	protein_coding-promoter-TSS (ENST00000356396.8)	-151	ENST00000457828.6	ENSG00000160285	ENST00000464357			LSS			protein_coding
chrX-108	chrX	7069062	7069324	+	1	NA	intron (ENST00000486446.3, intron 3 of 3)	protein_coding-intron (ENST00000381077.10, intron 3 of 3)	8230	ENST00000655425.1	ENSG00000130021	ENST00000438499			PUDP			protein_coding
chr3-585	chr3	97282172	97282434	+	1	NA	intron (ENST00000389672.10, intron 5 of 17)	protein_coding-intron (ENST00000389672.10, intron 5 of 17)	-157307	ENST00000477384.6	ENSG00000080224	ENST00000506349			EPHA6			protein_coding
chr11-36	chr11	119095418	119095680	+	1	NA	promoter-TSS (ENST00000375167.1)	protein_coding-promoter-TSS (ENST00000375167.1)	-84	ENST00000530167.2	ENSG00000188486	ENST00000530167			H2AX			protein_coding
chr16-24	chr16	3487948	3488210	+	1	NA	intron (ENST00000574423.2, intron 1 of 4)	lncRNA-intron (ENST00000574423.2, intron 1 of 4)	-2610	ENST00000622849.1	ENSG00000273776	ENST00000622849			MIR6126			miRNA
chr12-106	chr12	50763767	50764029	+	1	NA	promoter-TSS (ENST00000262053.8)	protein_coding-promoter-TSS (ENST00000262053.8)	-180	ENST00000549612.5	ENSG00000123268	ENST00000552487			ATF1			protein_coding
chr3-511	chr3	23129858	23130120	+	1	NA	Intergenic	Intergenic	-4383	ENST00000399435.2	ENSG00000215016	ENST00000399435			RPL24P7			processed_pseudogene
chr14-25	chr14	37595911	37596173	+	1	NA	promoter-TSS (ENST00000250448.5)	protein_coding-promoter-TSS (ENST00000250448.5)	17	ENST00000557418.1	ENSG00000129514	ENST00000545425			FOXA1			protein_coding
chr15-325	chr15	74789355	74789617	+	1	NA	promoter-TSS (ENST00000581077.1)	miRNA-promoter-TSS (ENST00000581077.1)	-729	ENST00000581077.1	ENSG00000264386	ENST00000581077			MIR4513			miRNA
chr15-567	chr15	90165609	90165871	+	1	NA	promoter-TSS (ENST00000491561.3)	misc_RNA-promoter-TSS (ENST00000491561.3)	-493	ENST00000491561.3	ENSG00000240470	ENST00000491561			RN7SL346P			misc_RNA
chr6-23	chr6	33299222	33299484	+	1	NA	promoter-TSS (ENST00000425946.1)	protein_coding-promoter-TSS (ENST00000425946.1)	-126	ENST00000689186.1	ENSG00000289100	ENST00000689186			ENSG00000289100			lncRNA
chr20-1551	chr20	62937797	62938059	+	1	NA	promoter-TSS (ENST00000266069.5)	protein_coding-promoter-TSS (ENST00000266069.5)	24	ENST00000370371.8	ENSG00000101191	ENST00000370368			DIDO1			protein_coding
chr7-23	chr7	1455227	1455489	+	1	NA	intron (ENST00000472100.5, intron 1 of 15)	protein_coding-intron (ENST00000297508.8, intron 1 of 16)	4007	ENST00000472100.5	ENSG00000164877	ENST00000471899			MICALL2			protein_coding
chr3-101	chr3	189330269	189330531	+	1	NA	Intergenic	Intergenic	20506	ENST00000481307.1	ENSG00000188001	ENST00000488841			TPRG1			protein_coding
chr19-73	chr19	41887915	41888177	+	1	NA	intron (ENST00000698934.1, intron 1 of 30)	protein_coding-intron (ENST00000337665.8, intron 1 of 28)	3598	ENST00000337665.8	ENSG00000076928	ENST00000598587			ARHGEF1			protein_coding
chr6-257	chr6	45377643	45377905	+	1	NA	promoter-TSS (ENST00000459689.1)	protein_coding-promoter-TSS (ENST00000459689.1)	159	ENST00000371460.5	ENSG00000196284	ENST00000371458			SUPT3H			protein_coding
chr1-66	chr1	114670089	114670351	+	1	NA	promoter-TSS (ENST00000393274.6)	protein_coding-promoter-TSS (ENST00000393274.6)	-109	ENST00000393276.7	ENSG00000175984	ENST00000493549			DENND2C			protein_coding
chr2-89	chr2	109470534	109470796	+	1	NA	intron (ENST00000309415.8, intron 8 of 9)	protein_coding-intron (ENST00000309415.8, intron 8 of 9)	-81871	ENST00000417974.1	ENSG00000237916	ENST00000417974			RPL37P12			processed_pseudogene
chr20-1427	chr20	24468993	24469255	+	1	NA	promoter-TSS (ENST00000376862.4)	protein_coding-promoter-TSS (ENST00000376862.4)	-505	ENST00000376862.4	ENSG00000101463	ENST00000482637			SYNDIG1			protein_coding
chr7-126	chr7	90346556	90346818	+	1	NA	promoter-TSS (ENST00000222511.11)	protein_coding-promoter-TSS (ENST00000222511.11)	-8	ENST00000417207.5	ENSG00000105793	ENST00000439832			GTPBP10			protein_coding
chr17-55	chr17	82889546	82889808	+	1	NA	exon (ENST00000355528.9, exon 16 of 39)	protein_coding-exon (ENST00000355528.9, exon 16 of 39)	-1020	ENST00000683839.1	ENSG00000141556	ENST00000576996			TBCD			protein_coding
chr2-4	chr2	64866873	64867135	+	1	NA	Intergenic	Intergenic	-3378	ENST00000445865.1	ENSG00000234572	ENST00000445865			LINC01800			lncRNA
chr15-312	chr15	64095911	64096173	+	1	NA	promoter-TSS (ENST00000261889.9)	protein_coding-promoter-TSS (ENST00000261889.9)	11	ENST00000559389.1	ENSG00000028528	ENST00000559401			SNX1			protein_coding
chr20-22	chr20	57326814	57327076	+	1	NA	Intergenic	Intergenic	-1601	ENST00000455840.1	ENSG00000231005	ENST00000455840			RPL39P39			processed_pseudogene
chr11-18	chr11	30521696	30521958	+	1	NA	intron (ENST00000526437.5, intron 3 of 7)	protein_coding-intron (ENST00000358117.10, intron 3 of 6)	14238	ENST00000524636.1	ENSG00000066382	ENST00000448418			MPPED2			protein_coding
chr2-565	chr2	72916030	72916292	+	1	NA	promoter-TSS (ENST00000394111.6)	protein_coding-promoter-TSS (ENST00000394111.6)	-99	ENST00000394111.6	ENSG00000135638	ENST00000464675			EMX1			protein_coding
chr11-71	chr11	73787777	73788039	+	1	NA	promoter-TSS (ENST00000310614.12)	protein_coding-promoter-TSS (ENST00000310614.12)	-1	ENST00000542303.5	ENSG00000175581	ENST00000398483			MRPL48			protein_coding
chr21-93	chr21	39312361	39312623	+	1	NA	TTS (ENST00000484090.1)	protein_coding-TTS (ENST00000484090.1)	809	ENST00000484090.1	ENSG00000185658	ENST00000445668			BRWD1			protein_coding
chr21-3	chr21	15210289	15210551	+	1	NA	intron (ENST00000673983.1, intron 2 of 4)	lncRNA-intron (ENST00000673983.1, intron 2 of 4)	13974	ENST00000673983.1	ENSG00000288555	ENST00000673983			ENSG00000288555			lncRNA
chr3-421	chr3	196739735	196739997	+	1	NA	promoter-TSS (ENST00000327134.7)	protein_coding-promoter-TSS (ENST00000327134.7)	9	ENST00000327134.7	ENSG00000180370	ENST00000481344			PAK2			protein_coding
chr1-230	chr1	108830566	108830828	+	1	NA	promoter-TSS (ENST00000603450.1)	protein_coding-promoter-TSS (ENST00000603450.1)	37	ENST00000603450.1	ENSG00000162641	ENST00000477908			AKNAD1			protein_coding
chr16-140	chr16	87790017	87790279	+	1	NA	intron (ENST00000561567.1, intron 1 of 1)	lncRNA-intron (ENST00000561567.1, intron 1 of 1)	-10774	ENST00000563993.6	ENSG00000260498	ENST00000701573			ENSG00000260498			lncRNA
chr10-29	chr10	100347045	100347307	+	1	NA	promoter-TSS (ENST00000370355.3)	protein_coding-promoter-TSS (ENST00000370355.3)	-57	ENST00000370355.3	ENSG00000099194	ENST00000370355			SCD			protein_coding
chr3-821	chr3	62154669	62154931	+	1	NA	intron (ENST00000474889.6, intron 6 of 29)	protein_coding-intron (ENST00000295874.14, intron 6 of 28)	-30192	ENST00000462623.1	ENSG00000237456	ENST00000462623			ID2B			processed_pseudogene
chr1-14	chr1	109240168	109240430	+	1	NA	Intergenic	Intergenic	4068	ENST00000468588.1	ENSG00000031698	ENST00000471705			SARS1			protein_coding
chr20-27	chr20	57435710	57435972	+	1	NA	Intergenic	Intergenic	-6901	ENST00000652193.1	ENSG00000286052	ENST00000652193			ENSG00000286052			lncRNA
chr2-8	chr2	203238768	203239030	+	1	NA	promoter-TSS (ENST00000356079.9)	protein_coding-promoter-TSS (ENST00000356079.9)	-78	ENST00000449301.5	ENSG00000119004	ENST00000428265			CYP20A1			protein_coding
chr4-12	chr4	2009080	2009342	+	1	NA	promoter-TSS (ENST00000333877.8)	protein_coding-promoter-TSS (ENST00000333877.8)	24	ENST00000542778.5	ENSG00000185049	ENST00000416258			NELFA			protein_coding
chr2-49	chr2	171434540	171434802	+	1	NA	promoter-TSS (ENST00000375258.9)	protein_coding-promoter-TSS (ENST00000375258.9)	7	ENST00000436317.1	ENSG00000115827	ENST00000493106			DCAF17			protein_coding
chr9-56	chr9	107337029	107337291	+	1	NA	Intergenic	Intergenic	30618	ENST00000457811.1	ENSG00000119318	ENST00000419616			RAD23B			protein_coding
chr6-252	chr6	36423242	36423504	+	1	NA	intron (ENST00000454782.3, intron 3 of 4)	protein_coding-intron (ENST00000454782.3, intron 3 of 4)	-19394	ENST00000536244.5	ENSG00000112078	ENST00000498267			KCTD20			protein_coding
chr14-16	chr14	20971465	20971727	+	1	NA	Intergenic	Intergenic	8017	ENST00000468631.3	ENSG00000243817	ENST00000468631			RN7SL189P			misc_RNA
chr2-65	chr2	260823	261085	+	1	NA	promoter-TSS (ENST00000479739.6)	protein_coding-promoter-TSS (ENST00000479739.6)	-246	ENST00000479739.6	ENSG00000035115	ENST00000602998			SH3YL1			protein_coding
chr3-152	chr3	10552068	10552330	+	1	NA	intron (ENST00000646379.1, intron 2 of 21)	protein_coding-intron (ENST00000646379.1, intron 2 of 21)	-18066	ENST00000460129.5	ENSG00000157087	ENST00000460129			ATP2B2			protein_coding
chr5-163	chr5	177455354	177455616	+	1	NA	exon (ENST00000323249.8, exon 3 of 4)	protein_coding-exon (ENST00000323249.8, exon 3 of 4)	5157	ENST00000467054.2	ENSG00000113758	ENST00000309007			DBN1			protein_coding
chr22-28	chr22	17847453	17847715	+	1	NA	intron (ENST00000672019.1, intron 19 of 32)	protein_coding-intron (ENST00000383094.7, intron 18 of 18)	-5102	ENST00000578905.1	ENSG00000243156	ENST00000400561			MICAL3			protein_coding
chr5-162	chr5	177006755	177007017	+	1	NA	promoter-TSS (ENST00000377227.8)	protein_coding-promoter-TSS (ENST00000377227.8)	-107	ENST00000511320.6	ENSG00000087206	ENST00000511320			UIMC1			protein_coding
chr3-153	chr3	50611957	50612219	+	1	NA	promoter-TSS (ENST00000348721.4)	protein_coding-promoter-TSS (ENST00000348721.4)	180	ENST00000446044.5	ENSG00000114738	ENST00000357955			MAPKAPK3			protein_coding
chr16-58	chr16	70380540	70380802	+	1	NA	TTS (ENST00000567822.1)	protein_coding-TTS (ENST00000567822.1)	1214	ENST00000566960.1	ENSG00000260111	ENST00000566960			ENSG00000260111			lncRNA
chr7-71	chr7	12686461	12686723	+	1	NA	promoter-TSS (ENST00000356797.7)	protein_coding-promoter-TSS (ENST00000356797.7)	-264	ENST00000396662.5	ENSG00000122644	ENST00000396664			ARL4A			protein_coding
chr17-2040	chr17	77958219	77958481	+	1	NA	promoter-TSS (ENST00000636222.1)	protein_coding-promoter-TSS (ENST00000636222.1)	-353	ENST00000696270.1	ENSG00000078687	ENST00000592566			TNRC6C			protein_coding
chr6-71	chr6	79078297	79078559	+	1	NA	promoter-TSS (ENST00000275034.5)	protein_coding-promoter-TSS (ENST00000275034.5)	-141	ENST00000700119.1	ENSG00000146247	ENST00000700114			PHIP			protein_coding
chr22-153	chr22	19688147	19688409	+	1	NA	Intergenic	Intergenic	21255	ENST00000452326.1	ENSG00000225007	ENST00000452326			ENSG00000225007			lncRNA
chr18-21	chr18	45793231	45793493	+	1	NA	Intergenic	Intergenic	4832	ENST00000587507.2	ENSG00000267558	ENST00000587507			ENSG00000267558			processed_pseudogene
chr19-61	chr19	54173131	54173393	+	1	NA	promoter-TSS (ENST00000446291.1)	protein_coding-promoter-TSS (ENST00000446291.1)	-12	ENST00000617472.4	ENSG00000167608	ENST00000446291			TMC4			protein_coding
chr5-35	chr5	10467304	10467566	+	1	NA	intron (ENST00000510520.5, intron 4 of 4)	protein_coding-intron (ENST00000510520.5, intron 4 of 4)	-10602	ENST00000611729.1	ENSG00000277073	ENST00000611729			MIR6131			miRNA
chr2-600	chr2	113079177	113079439	+	1	NA	Intergenic	Intergenic	4769	ENST00000496265.1	ENSG00000136697	ENST00000393197			IL1F10			protein_coding
chr6-47	chr6	6703801	6704063	+	1	NA	TTS (ENST00000648205.1)	lncRNA-TTS (ENST00000648205.1)	-6545	ENST00000702289.1	ENSG00000287497	ENST00000663164			ENSG00000287497			lncRNA
chr8-9	chr8	143936553	143936815	+	1	NA	TTS (ENST00000532346.1)	protein_coding-TTS (ENST00000532346.1)	2913	ENST00000345136.8	ENSG00000178209	ENST00000345136			PLEC			protein_coding
chr3-36	chr3	60841461	60841723	+	1	NA	intron (ENST00000490952.1, intron 4 of 5)	protein_coding-intron (ENST00000468189.5, intron 3 of 8)	15013	ENST00000390909.2	ENSG00000212211	ENST00000390909			U3			snoRNA
chr17-1289	chr17	3048746	3049008	+	1	NA	Intergenic	Intergenic	14647	ENST00000574709.1	ENSG00000132359	ENST00000697391			RAP1GAP2			protein_coding
chr16-290	chr16	23678595	23678857	+	1	NA	promoter-TSS (ENST00000300093.9)	protein_coding-promoter-TSS (ENST00000300093.9)	-143	ENST00000570220.5	ENSG00000166851	ENST00000562407			PLK1			protein_coding
chr10-14	chr10	125064720	125064982	+	1	NA	intron (ENST00000476817.1, intron 2 of 2)	protein_coding-intron (ENST00000337195.10, intron 2 of 10)	-31981	ENST00000581038.1	ENSG00000264572	ENST00000581038			MIR4296			miRNA
chr15-8	chr15	63048271	63048533	+	1	NA	promoter-TSS (ENST00000317516.12)	protein_coding-promoter-TSS (ENST00000317516.12)	-25	ENST00000651622.2	ENSG00000140416	ENST00000558072			TPM1			protein_coding
chr3-1139	chr3	126752504	126752766	+	1	NA	intron (ENST00000514908.5, intron 4 of 6)	protein_coding-intron (ENST00000290913.8, intron 4 of 7)	14840	ENST00000513160.1	ENSG00000249558	ENST00000513160			RCC2P4			processed_pseudogene
chr13-185	chr13	33126158	33126420	+	1	NA	intron (ENST00000567873.2, intron 6 of 13)	protein_coding-intron (ENST00000255486.8, intron 6 of 13)	-13096	ENST00000491333.1	ENSG00000133121	ENST00000567873			STARD13			protein_coding
chr17-298	chr17	67637909	67638171	+	1	NA	exon (ENST00000623200.1, exon 1 of 1)	TEC-exon (ENST00000623200.1, exon 1 of 1)	266	ENST00000623200.1	ENSG00000279361	ENST00000623200			ENSG00000279361			TEC
chr14-188	chr14	67816457	67816719	+	1	NA	promoter-TSS (ENST00000347230.9)	protein_coding-promoter-TSS (ENST00000347230.9)	-1	ENST00000554523.5	ENSG00000072121	ENST00000557366			ZFYVE26			protein_coding
chr12-382	chr12	122946879	122947141	+	1	NA	promoter-TSS (ENST00000542448.5)	protein_coding-promoter-TSS (ENST00000542448.5)	-533	ENST00000542448.5	ENSG00000150967	ENST00000541424			ABCB9			protein_coding
chr4-60	chr4	82380330	82380592	+	1	NA	intron (ENST00000609575.2, intron 1 of 1)	lncRNA-intron (ENST00000609575.2, intron 1 of 1)	5893	ENST00000688760.1	ENSG00000272677	ENST00000609575			HNRNPD-DT			lncRNA
chr7-47	chr7	76047784	76048046	+	1	NA	promoter-TSS (ENST00000248600.5)	protein_coding-promoter-TSS (ENST00000248600.5)	38	ENST00000431581.5	ENSG00000127952	ENST00000360591			STYXL1			protein_coding
chr11-115	chr11	85269174	85269436	+	1	NA	intron (ENST00000706205.1, intron 3 of 4)	protein_coding-intron (ENST00000376104.7, intron 4 of 27)	67267	ENST00000528836.1	ENSG00000254684	ENST00000528836			ENSG00000254684			processed_pseudogene
chr22-6	chr22	28819469	28819731	+	1	NA	intron (ENST00000422972.1, intron 1 of 1)	lncRNA-intron (ENST00000418292.1, intron 1 of 1)	1269	ENST00000422972.1	ENSG00000226471	ENST00000692644			ENSG00000226471			lncRNA
chr7-119	chr7	128431295	128431557	+	1	NA	Intergenic	Intergenic	2287	ENST00000449336.1	ENSG00000228700	ENST00000449336			ENSG00000228700			processed_pseudogene
chr6-119	chr6	29628789	29629051	+	1	NA	promoter-TSS (ENST00000355973.7)	protein_coding-promoter-TSS (ENST00000355973.7)	-882	ENST00000355973.7	ENSG00000204681	ENST00000377016			GABBR1			protein_coding
chr16-81	chr16	15888545	15888807	+	1	NA	promoter-TSS (ENST00000255759.11)	protein_coding-promoter-TSS (ENST00000255759.11)	-51	ENST00000573087.5	ENSG00000133393	ENST00000573396			CEP20			protein_coding
chr14-14	chr14	91149538	91149800	+	1	NA	intron (ENST00000518868.5, intron 4 of 16)	protein_coding-intron (ENST00000256324.15, intron 1 of 13)	1891	ENST00000412671.6	ENSG00000133943	ENST00000523576			DGLUCY			protein_coding
chr9-463	chr9	91071086	91071348	+	1	NA	Intergenic	Intergenic	31290	ENST00000663149.1	ENSG00000237422	ENST00000666264			ENSG00000237422			lncRNA
chr15-144	chr15	34583516	34583778	+	1	NA	promoter-TSS (ENST00000484716.5)	protein_coding-promoter-TSS (ENST00000484716.5)	4	ENST00000564575.5	ENSG00000215252	ENST00000569811			GOLGA8B			protein_coding
chr2-53	chr2	38077122	38077384	+	1	NA	intron (ENST00000657397.2, intron 1 of 2)	protein_coding-intron (ENST00000494864.1, intron 1 of 1)	973	ENST00000589303.5	ENSG00000232973	ENST00000628232			CYP1B1-AS1			lncRNA
chr16-15	chr16	85466055	85466317	+	1	NA	intron (ENST00000637419.1, intron 2 of 2)	protein_coding-intron (ENST00000637419.1, intron 2 of 2)	-23627	ENST00000620845.1	ENSG00000278716	ENST00000620845			ENSG00000278716			lncRNA
chr1-108	chr1	151070460	151070722	+	1	NA	promoter-TSS (ENST00000368918.8)	protein_coding-promoter-TSS (ENST00000368918.8)	13	ENST00000462520.5	ENSG00000143458	ENST00000489549			GABPB2			protein_coding
chr10-188	chr10	119023264	119023526	+	1	NA	intron (ENST00000663084.1, intron 2 of 3)	lncRNA-intron (ENST00000663084.1, intron 2 of 3)	6149	ENST00000663084.1	ENSG00000229272	ENST00000437838			LINC03036			lncRNA
chr1-1752	chr1	201275248	201275510	+	1	NA	Intergenic	Intergenic	-8073	ENST00000263946.7	ENSG00000081277	ENST00000263946			PKP1			protein_coding
chr1-9	chr1	117268960	117269222	+	1	NA	Intergenic	Intergenic	-3091	ENST00000664471.1	ENSG00000235202	ENST00000657479			LINC01525			lncRNA
chr3-328	chr3	138834410	138834672	+	1	NA	intron (ENST00000674063.1, intron 1 of 23)	protein_coding-intron (ENST00000462898.5, intron 1 of 22)	211	ENST00000477593.5	ENSG00000051382	ENST00000544716			PIK3CB			protein_coding
chr20-1485	chr20	49611163	49611425	+	1	NA	Intergenic	Intergenic	-43157	ENST00000244043.5	ENSG00000124212	ENST00000244043			PTGIS			protein_coding
chr10-16	chr10	58385158	58385420	+	1	NA	promoter-TSS (ENST00000373895.7)	protein_coding-promoter-TSS (ENST00000373895.7)	-56	ENST00000373899.3	ENSG00000108064	ENST00000373895			TFAM			protein_coding
chr3-224	chr3	4492763	4493025	+	1	NA	promoter-TSS (ENST00000354582.12)	protein_coding-promoter-TSS (ENST00000354582.12)	285	ENST00000688861.1	ENSG00000231249	ENST00000688861			ITPR1-DT			lncRNA
chr12-412	chr12	49963051	49963313	+	1	NA	promoter-TSS (ENST00000550214.1)	lncRNA-promoter-TSS (ENST00000550214.1)	-258	ENST00000550214.1	ENSG00000257588	ENST00000550214			AQP5-AS1			lncRNA
chr1-384	chr1	244970928	244971190	+	1	NA	promoter-TSS (ENST00000607453.1)	lncRNA-promoter-TSS (ENST00000607453.1)	29	ENST00000607453.1	ENSG00000272195	ENST00000607453			ENSG00000272195			lncRNA
chr6-90	chr6	47309887	47310149	+	1	NA	promoter-TSS (ENST00000296861.2)	protein_coding-promoter-TSS (ENST00000296861.2)	-113	ENST00000296861.2	ENSG00000146072	ENST00000296861			TNFRSF21			protein_coding
chr18-10	chr18	12741460	12741722	+	1	NA	intron (ENST00000657716.1, intron 2 of 2)	lncRNA-intron (ENST00000587889.1, intron 1 of 1)	8477	ENST00000587889.1	ENSG00000266961	ENST00000587889			ENSG00000266961			lncRNA
chr11-409	chr11	114439273	114439535	+	1	NA	promoter-TSS (ENST00000265881.10)	protein_coding-promoter-TSS (ENST00000265881.10)	-31	ENST00000544010.5	ENSG00000076043	ENST00000540492			REXO2			protein_coding
chr1-288	chr1	205631940	205632202	+	1	NA	promoter-TSS (ENST00000289703.8)	protein_coding-promoter-TSS (ENST00000289703.8)	-60	ENST00000357992.9	ENSG00000158711	ENST00000357992			ELK4			protein_coding
chr14-29	chr14	105473728	105473990	+	1	NA	promoter-TSS (ENST00000329146.9)	protein_coding-promoter-TSS (ENST00000329146.9)	897	ENST00000483017.7	ENSG00000182809	ENST00000548309			CRIP2			protein_coding
chr9-250	chr9	89756894	89757156	+	1	NA	Intergenic	Intergenic	-42670	ENST00000421297.1	ENSG00000226206	ENST00000421297			ENSG00000226206			lncRNA
